Company,Model,Fuel,SeatsBand,EngineBand,peer_id,hp,tq,vmax,acc_sec,cc,price,log_price,z_hp,z_tq,z_vmax,z_acc,z_eff,z_price,perf,price_index,VFM_ratio,VFM_diff,price_pred,price_resid,overpriced_pct
Mazda,CX-7,Petrol,4–5,mid,Petrol | 4–5 | mid,244,350,210,7.9,2300,30500,10.32548196,0.2866666667,0.2418379686,0,-0.1417322835,-0.3333333333,-0.06926266244,0.1036878037,0.9330815624,0.1111240516,0.1729504661,10.47168921,-0.1462072504,-13.60213753
Porsche,718 Spyder,Petrol,2,large,Petrol | 2 | large,414,420,301,4.1,4000,98300,11.49577931,-0.9456066946,-1.409214092,-0.6315789474,-1.375,0.4819855885,-0.6951560069,-0.9900216716,0.498996595,-1.984024904,-0.2948656646,11.64189929,-0.1461199798,-13.5945972
HYUNDAI,KONA Electric,Electric,4–5,EV,Electric | 4–5 | EV,200,395,200,6.1,39,40000,10.59663473,-0.5577689243,-0.1553672316,0,-0.3157894737,0,-0.4976352709,-0.2894504646,0.6079666376,-0.4760959676,0.2081848064,10.74250094,-0.1458662041,-13.57266683
Nissan,Pathfinder Armada,Petrol,6–7,large,Petrol | 6–7 | large,400,560,200,6.5,5600,60000,11.00209984,0.8256880734,0.545,-0.25,0.625,-0.65,0.1822748984,0.4404908257,1.199944011,0.3670928156,0.2582159273,11.14771693,-0.1456170844,-13.5511334
BMW,128ti,Petrol,4–5,mid,Petrol | 4–5 | mid,261,400,250,6.1,1998,42000,10.6454249,0.4,0.4836759371,0.6666666667,0.4251968504,0.002222222222,0.3923174228,0.4552190019,1.480407552,0.3074957307,0.06290157917,10.78743815,-0.142013252,-13.23902411
BMW,116D,Diesel,4–5,small,Diesel | 4–5 | small,116,278.4,200,10.3,1496,30000,10.30895266,1.64,1.064615385,1,0.4222222222,-0.3243243243,0.3580222101,1.055151305,1.430497392,0.7376114849,0.697129095,10.45019145,-0.1412387894,-13.17180496
Nissan,200SX,Petrol,4–5,mid,Petrol | 4–5 | mid,200,265,240,7.2,2000,30000,10.30895266,-0.006666666667,-0.169286578,0.5,0.07874015748,0,-0.09310940439,0.07955738256,0.9110938172,0.08732073587,0.172666787,10.45001502,-0.1410623601,-13.15648457
FERRARI,812 GTS,Petrol,2,large,Petrol | 2 | large,789,718,340,2.9,6496,350000,12.76568843,0.6234309623,0.2059620596,0.3947368421,0.125,-0.517213771,0.1481894167,0.3374799286,1.159732548,0.290998066,0.1892905119,12.90595537,-0.1402669355,-13.08737962
Mitsubishi,Minicab MiEV,Electric,2,EV,Electric | 2 | EV,69.6,200.56,101.6,15.768,16,20320,9.919360902,-2.167741935,-0.912,-8.68,-4.64,0,-17.75248762,-3.605109677,1.95E-08,-184810182.8,14.14737795,10.05817717,-0.1388162726,-12.96120722
TOYOTA,BZ3,Electric,4–5,EV,Electric | 4–5 | EV,241,340,160,7.5,65,35000,10.46310334,-0.3944223108,-0.3107344633,-0.5714285714,-0.8070175439,0,-0.6717317221,-0.4758839245,0.5108232076,-0.9316020052,0.1958477976,10.60148104,-0.1383777033,-12.9230263
Mazda,Titan (Truck),Diesel,2,mid,Diesel | 2 | mid,130,302.8,120,15,3000,27800,10.2327913,-0.5,-2.348571429,-1,-0.8333333333,-1,-2.140933951,-1.061380952,0.1175450105,-9.029570442,1.079552998,10.37114628,-0.1383549826,-12.92104782
AUDI,Q5,Petrol,4–5,mid,Petrol | 4–5 | mid,248,500,240,6.3,1984,43000,10.66895539,0.3133333333,0.9673518742,0.5,0.3622047244,0.01777777778,0.4262647547,0.4764668753,1.5315262,0.3111059251,0.05020212058,10.80652321,-0.1375678128,-12.85247492
Ford,Ranger,Diesel,4–5,mid,Diesel | 4–5 | mid,306.7,540,180,6,2700,45000,10.71441777,1.801941748,1.310344828,0,0.9090909091,-1.386138614,0.7907350335,1.005259828,2.205016592,0.4558967184,0.2145247948,10.85171263,-0.1372948601,-12.82868452
AUDI,A4,Petrol,4–5,mid,Petrol | 4–5 | mid,248,400,240,6.5,1984,39000,10.57131693,0.3133333333,0.4836759371,0.5,0.2992125984,0.01777777778,0.2854022189,0.3671332627,1.330296991,0.2759784207,0.0817310438,10.70831863,-0.1370017075,-12.80312628
Nissan,Armada Platinum,Petrol,8+,large,Petrol | 8+ | large,400,560,210,6.5,5600,65300,11.08674732,1,0.397094431,0.2,0.8,-0.2222222222,0.05108362029,0.6183077751,1.052410893,0.5875155602,0.5672241548,11.22369537,-0.136948051,-12.79844747
Kia,Telluride SX Prestige,Petrol,6–7,large,Petrol | 6–7 | large,291,355,240,7,3800,52000,10.858999,-0.1743119266,-0.48,1.75,0,0.25,-0.1174984489,0.2054908257,0.8891418909,0.2311113983,0.3229892746,10.99515621,-0.1361572158,-12.72945814
Nissan,Titan XD,Petrol,6–7,large,Petrol | 6–7 | large,400,560,195,6.9,5600,55000,10.91508846,0.8256880734,0.545,-0.5,0.125,-0.65,0,0.2904908257,1,0.2904908257,0.2904908257,11.05033775,-0.1352492833,-12.6501864
BMW,M2 CS,Petrol,4–5,mid,Petrol | 4–5 | mid,444,550,280,4,2993,83000,11.32659589,1.62,1.209189843,1.166666667,1.086614173,-1.103333333,1.375039431,1.20432747,3.95523268,0.304489664,-0.1707119615,11.46029508,-0.1336991896,-12.514681
Volkswagen,Sharan Business,Diesel,6–7,mid,Diesel | 6–7 | mid,167,350,200,8.3,2000,35000,10.46310334,0.2645502646,0,0.8080808081,1.35,0.5,0.2434610894,0.5492087542,1.27565668,0.4305302223,0.3057476648,10.59508045,-0.131977112,-12.3638947
Volkswagen,Up! GTI,Petrol,4–5,small,Petrol | 4–5 | small,115,200,196,8.8,1000,20000,9.903487553,0.3269230769,0.4149377593,0.4,0.4739884393,0.5,0.193906374,0.3972083167,1.213982617,0.3271944021,0.2033019427,10.03485273,-0.1313651758,-12.31025058
Ford,Fusion (Mondeo),Petrol,4–5,mid,Petrol | 4–5 | mid,160,200,220,7.5,1500,25000,10.1266311,-0.2733333333,-0.4836759371,0.1666666667,-0.0157480315,0.5555555556,-0.3561438102,-0.1344403493,0.7003718924,-0.1919556606,0.2217034609,10.25780006,-0.1311689541,-12.29304226
Ford,Edge,Petrol,4–5,mid,Petrol | 4–5 | mid,250,400,200,6.5,2000,35000,10.46310334,0.3266666667,0.4836759371,-0.1666666667,0.2992125984,0,0.1292830169,0.2375777071,1.138012155,0.2087655268,0.1082946902,10.5919505,-0.1288471603,-12.0891682
Volkswagen,Passat Alltrack,Diesel,4–5,mid,Diesel | 4–5 | mid,215,400,220,7.8,2000,36000,10.49127422,0.6148867314,0.3448275862,0.8,0.4055944056,0,0.2611404011,0.5252947543,1.298409951,0.4045677207,0.2641543533,10.6188343,-0.1275600801,-11.97594707
Jeep,Renegade,Petrol,4–5,small,Petrol | 4–5 | small,177,285,200,8.7,1300,28345,10.25220593,1.519230769,1.12033195,0.5,0.4971098266,-0.25,0.6507119265,0.9427191246,1.916905039,0.491792293,0.2920071981,10.37966438,-0.127458453,-11.96700098
Jaguar Land Rover,Jaguar XE S,Petrol,4–5,mid,Petrol | 4–5 | mid,340,450,250,5.3,1999,55000,10.91508846,0.9266666667,0.7255139057,0.6666666667,0.6771653543,0.001111111111,0.7813597135,0.7382580742,2.18444046,0.3379620949,-0.0431016393,11.04166675,-0.1265782895,-11.88948345
Nissan,Versa,Petrol,4–5,mid,Petrol | 4–5 | mid,122,154,180,10.4,1600,16700,9.723163998,-0.5266666667,-0.7061668682,-0.5,-0.9291338583,0.4444444444,-0.9382238024,-0.5891712564,0.3913222841,-1.505590865,0.349052546,9.849356082,-0.1261920839,-11.8554481
Porsche,718 Boxster GTS,Petrol,2,large,Petrol | 2 | large,394,430,293,4.3,4000,90300,11.41089274,-1.029288703,-1.35501355,-0.8421052632,-1.625,0.4819855885,-0.7515290938,-1.100575529,0.4716448119,-2.333483803,-0.3490464354,11.53662915,-0.1257364088,-11.81527366
MERCEDES,BENZ GLC 350,Petrol,4–5,mid,Petrol | 4–5 | mid,255,500,250,6.1,1991,46000,10.73639668,0.36,0.9673518742,0.6666666667,0.4251968504,0.01,0.5235619561,0.5383430783,1.688029641,0.3189180243,0.0147811222,10.86210105,-0.1257043737,-11.81244861
Mitsubishi,Fuso Fighter (Truck),Diesel,2,large,Diesel | 2 | large,240,698.54,120,18,7500,80000,11.28978191,-1.807692308,-1.149699647,0.4,-0.56,0.954954955,-0.4684464579,-0.8468844893,0.6259739902,-1.352906834,-0.3784380313,11.4132292,-0.12344729,-11.61317713
LAMBORGHINI,URUS,Petrol,4–5,large,Petrol | 4–5 | large,641,850,305,3.6,3996,211000,12.25961341,0.4742857143,0.4703115814,0.7189542484,0.5454545455,0.001418817061,0.4822484186,0.5130150159,1.619712102,0.3167322238,0.03076659729,12.38243628,-0.1228228723,-11.5579696
Nissan,Note,Hybrid,4–5,small,Hybrid | 4–5 | small,112.43,157,171.4,11.339,1207,16490,9.710509416,-1.54976431,-3.228571429,-2.288,-2.618823529,1.43,-1.53885529,-2.0979965,0.214626646,-9.775098007,-0.5591412096,9.832654931,-0.1221455153,-11.49804248
GMC,Acadia AT4,Petrol,6–7,large,Petrol | 6–7 | large,310,366,210,7.6,3600,41400,10.63103616,0,-0.425,0.25,-0.75,0.35,-0.5950440818,-0.1675,0.5515382525,-0.3036960705,0.4275440818,10.75301261,-0.1219764534,-11.4830789
AUDI,A6,Petrol,4–5,mid,Petrol | 4–5 | mid,335,600,250,5.7,2995,58000,10.96819829,0.8933333333,1.451027811,0.6666666667,0.5511811024,-1.105555556,0.8579809951,0.791164005,2.358394274,0.3354672345,-0.06681699016,11.0891874,-0.1209891151,-11.3956396
Mazda,323F,Petrol,4–5,mid,Petrol | 4–5 | mid,105,145,180,10.5,1600,16000,9.680344001,-0.64,-0.7496977025,-0.5,-0.9606299213,0.4444444444,-1,-0.6438433025,0.3678794412,-1.75014755,0.3561566975,9.800249088,-0.1199050872,-11.29953792
Mazda,Scrum,Petrol,4–5,small,Petrol | 4–5 | small,63,85,130,15,660,10000,9.210340372,-0.6730769231,-0.5394190871,-1.25,-0.9595375723,1.35,-0.714085588,-0.717868255,0.4896396395,-1.46611548,-0.003782666919,9.330024541,-0.1196841688,-11.27994019
Ford,KA+,Petrol,4–5,small,Petrol | 4–5 | small,78,120,165,10.5,1200,13500,9.510444964,-0.3846153846,-0.2489626556,-0.375,0.08092485549,0,-0.3209619263,-0.2432229446,0.725450871,-0.3352714213,0.07773898171,9.630042855,-0.1195978911,-11.27228529
Jeep,Grand Cherokee,Petrol,4–5,large,Petrol | 4–5 | large,293,352,209,7,3600,41530,10.63417134,-0.8514285714,-0.7007642563,-0.5359477124,-0.8282828283,0.1418817061,-0.5462811876,-0.7039048741,0.5790993729,-1.215516554,-0.1576236865,10.75369297,-0.1195216361,-11.2655191
TOYOTA,4RUNNER,Petrol,4–5,large,Petrol | 4–5 | large,270,400,200,7.5,3956,37400,10.52942598,-0.939047619,-0.5878894768,-0.6535947712,-1.03030303,0.01560698767,-0.6125608161,-0.7822437729,0.5419612275,-1.443357446,-0.1696829569,10.64884305,-0.1194170656,-11.25623962
Mazda,T2000,Petrol,2,mid,Petrol | 2 | mid,110,160,170,12.5,2000,19000,9.852194258,-1.032608696,-0.873015873,-1.333333333,-2.25,0,-1.024545069,-1.252682885,0.3589597301,-3.489758822,-0.2281378154,9.971516337,-0.119322079,-11.24780974
Jeep,Wrangler 4xe,Hybrid,4–5,mid,Hybrid | 4–5 | mid,375,637,180,6.4,2000,50695,10.83358257,0.7901234568,1.08627451,-0.3225806452,0.55,-0.22172949,0.415514042,0.5281955083,1.515149391,0.3486095242,0.1126814663,10.95097415,-0.1173915839,-11.07630859
Kia,Telluride Limited Edition,Petrol,6–7,large,Petrol | 6–7 | large,291,355,240,7,3800,53000,10.87804719,-0.1743119266,-0.48,1.75,0,0.25,-0.07759553137,0.2054908257,0.9253386213,0.2220709489,0.2830863571,10.99515621,-0.1171090208,-11.05117848
Volkswagen,Polo Vivo,Petrol,4–5,small,Petrol | 4–5 | small,85,132,170,10.8,1400,14000,9.546812609,-0.25,-0.1493775934,-0.25,0.01156069364,-0.5,-0.2733219308,-0.1900633799,0.7608478078,-0.2498047283,0.08325855087,9.663644458,-0.1168318493,-11.02652099
Mazda,RX-3,Petrol,4–5,small,Petrol | 4–5 | small,110,145,180,8.9,1200,17500,9.76995616,0.2307692308,-0.04149377593,0,0.450867052,0,0.01898619169,0.162643886,1.019167576,0.1595850279,0.1436576943,9.886587016,-0.1166308558,-11.0086361
Chevrolet,Malibu,Petrol,4–5,mid,Petrol | 4–5 | mid,160,250,210,8,1500,25000,10.1266311,-0.2733333333,-0.2418379686,0,-0.1732283465,0.5555555556,-0.3561438102,-0.1509021519,0.7003718924,-0.2154600342,0.2052416583,10.2430139,-0.1163827937,-10.98655798
Mazda,Millenia,Petrol,4–5,mid,Petrol | 4–5 | mid,210,280,215,8.2,2300,27500,10.22194128,0.06,-0.09673518742,0.08333333333,-0.2362204724,-0.3333333333,-0.2186402865,-0.04559113197,0.8036107358,-0.05673285577,0.1730491545,10.33760534,-0.1156640547,-10.92255755
Peugeot,208 PSE (Peugeot Sport Engineered),Hybrid,4–5,mid,Hybrid | 4–5 | mid,225,360,250,5.5,1598,45000,10.71441777,-0.1358024691,0,0.8064516129,1,0.2239467849,0.1822352261,0.3249567976,1.199896408,0.2708207105,0.1427215715,10.82990831,-0.1154905424,-10.90710017
Mitsubishi,Galant Fortis,Petrol,4–5,mid,Petrol | 4–5 | mid,154,200,200,10,2000,20000,9.903487553,-0.3133333333,-0.4836759371,-0.1666666667,-0.8031496063,0,-0.6780719051,-0.4003651087,0.5075947403,-0.7887495218,0.2777067964,10.01894371,-0.1154561527,-10.90403624
Volkswagen,Jetta SportWagen,Diesel,4–5,mid,Diesel | 4–5 | mid,150,250,200,8.5,2000,27000,10.20359214,-0.2265372168,-0.6896551724,0.4,0.2097902098,0,-0.4216258295,-0.09526101841,0.6559794416,-0.1452195181,0.3263648111,10.31774157,-0.1141494259,-10.78753606
Porsche,Panamera GTS,Petrol,4–5,large,Petrol | 4–5 | large,473,620,300,3.9,4000,130000,11.77528973,-0.1657142857,-0.07054673721,0.6535947712,0.4242424242,0,0.1757833317,0.1434580917,1.192179723,0.1203326049,-0.03232524009,11.88781591,-0.1125261833,-10.64260499
Volkswagen,Scirocco,Petrol,4–5,mid,Petrol | 4–5 | mid,202,350,233,6,2000,35000,10.46310334,0.006666666667,0.2418379686,0.3833333333,0.4566929134,0,0.1292830169,0.2187061764,1.138012155,0.1921826365,0.08942315944,10.5749999,-0.1118965574,-10.58632554
Mitsubishi,Colt,Petrol,4–5,mid,Petrol | 4–5 | mid,150,180,180,9,1500,20000,9.903487553,-0.34,-0.5804111245,-0.5,-0.4881889764,0.5555555556,-0.6780719051,-0.4049422424,0.5075947403,-0.7977668212,0.2731296627,10.01483248,-0.1113449241,-10.53698838
Volkswagen,Teramont,Petrol,6–7,mid,Petrol | 6–7 | mid,235,350,190,8.6,2000,32000,10.37349118,0.6084507042,0.7025210084,0,0.3302752294,0.894,-0.04188183319,0.464216994,0.9589830939,0.4840721354,0.5060988272,10.48477973,-0.1112885456,-10.53194444
Porsche,718 Cayman GT4,Petrol,2,large,Petrol | 2 | large,414,420,302,4.2,4000,100200,11.51492347,-0.9456066946,-1.409214092,-0.6052631579,-1.5,0.4819855885,-0.6824423878,-1.009758514,0.505381147,-1.998013815,-0.3273161259,11.62310573,-0.1081822625,-10.25359925
Kia,Rio,Petrol,4–5,mid,Petrol | 4–5 | mid,120,151,180,10.3,1600,17000,9.740968623,-0.54,-0.7206771463,-0.5,-0.8976377953,0.4444444444,-0.9125371587,-0.5904407661,0.4015042506,-1.470571644,0.3220963927,9.848215796,-0.1072471726,-10.16963905
Mazda,Atenza,Petrol,4–5,mid,Petrol | 4–5 | mid,192,252,210,8.5,2500,25000,10.1266311,-0.06,-0.2321644498,0,-0.3307086614,-0.5555555556,-0.3561438102,-0.1613524,0.7003718924,-0.230381033,0.1947914102,10.23362738,-0.1069962734,-10.14709786
GMC,Sierra Denali CarbonPro,Petrol,4–5,large,Petrol | 4–5 | large,420,624,200,5.8,6200,65000,11.08214255,-0.3676190476,-0.06114050558,-0.6535947712,-0.3434343434,-0.7803493837,-0.2628188229,-0.3793180599,0.7688811884,-0.4933376777,-0.116499237,11.18812469,-0.1059821454,-10.05592929
Peugeot,5008,Diesel,6–7,mid,Diesel | 6–7 | mid,165,400,200,9.5,1998,35000,10.46310334,0.2222222222,0.3571428571,0.8080808081,0.75,0.505,0.2434610894,0.4860725108,1.27565668,0.3810370912,0.2426114214,10.56843633,-0.1053329859,-9.99752229
Mazda,Luce,Petrol,4–5,mid,Petrol | 4–5 | mid,135,170,180,10.5,1800,17500,9.76995616,-0.44,-0.6287787183,-0.5,-0.9606299213,0.2222222222,-0.8707169831,-0.5607706168,0.4186512757,-1.339469504,0.3099463663,9.874865829,-0.1049096688,-9.959414638
TOYOTA,LAND CRUISER PRADO,Diesel,6–7,large,Diesel | 6–7 | large,282,450,200,7.2,3956,49400,10.8077057,-0.38671875,-0.2257250946,1.25,0.3870967742,0.5172727273,0.03235041513,0.1727864098,1.032879378,0.1672861453,0.1404359947,10.91202228,-0.1043165783,-9.905996581
Jeep,Wagoneer S (Electric),Electric,4–5,EV,Electric | 4–5 | EV,600,850,177,4.5,100,80000,11.28978191,1.035856574,1.129943503,-0.3285714286,0.2456140351,0,0.4060807909,0.5719470227,1.500923809,0.3810633287,0.1658662318,11.3940695,-0.1042875883,-9.903384713
Toyota,RAV4 (6th Gen),PHEV,4–5,mid,PHEV | 4–5 | mid,302,400,200,6,2487,43000,10.66895539,0.5784313725,0.3047619048,-0.2,0.6849315068,-0.7705239563,0.06270876841,0.3218634649,1.064716715,0.3022996262,0.2591546965,10.77277661,-0.1038212114,-9.861355936
AUDI,TT COUPE,Petrol,2,mid,Petrol | 2 | mid,248,400,250,5.3,1984,49000,10.79957558,-0.2826086957,0.07936507937,0,0,0.01606425703,0.1011895542,-0.08223681475,1.106486361,-0.0743224839,-0.1834263689,10.90269642,-0.1031208447,-9.798203722
AUDI,S4 SEDAN,Petrol,4–5,mid,Petrol | 4–5 | mid,349,500,250,4.7,2995,59000,10.98529272,0.9866666667,0.9673518742,0.6666666667,0.8661417323,-1.105555556,0.8826430494,0.7900876102,2.417280262,0.3268498166,-0.09255543917,11.08822058,-0.1029278529,-9.780793833
Ford,Bronco Sport,Petrol,4–5,mid,Petrol | 4–5 | mid,181,250,185,7,1500,26000,10.16585182,-0.1333333333,-0.2418379686,-0.4166666667,0.1417322835,0.5555555556,-0.2995602819,-0.1222433592,0.7411440435,-0.1649387326,0.1773169226,10.26875552,-0.1029037028,-9.778615002
Volkswagen,T-Roc,Petrol,4–5,mid,Petrol | 4–5 | mid,208,320,205,7.2,2000,30000,10.30895266,0.04666666667,0.09673518742,-0.08333333333,0.07874015748,0,-0.09310940439,0.03476173565,0.9110938172,0.0381538487,0.12787114,10.40977911,-0.1008264495,-9.591007544
HYUNDAI,Genesis,Petrol,4–5,large,Petrol | 4–5 | large,291,400,240,6.3,3800,52000,10.858999,-0.859047619,-0.5878894768,-0.1307189542,-0.5454545455,0.07094085306,-0.4040171789,-0.5499322193,0.667632652,-0.8237047989,-0.1459150404,10.95977222,-0.1007732198,-9.586194974
BMW,116D EFFICIENTDYNAMICS,Diesel,4–5,small,Diesel | 4–5 | small,116,270,200,10.9,1496,30000,10.30895266,1.64,1,1,0.2888888889,-0.3243243243,0.3580222101,1.015561562,1.430497392,0.7099359758,0.6575393514,10.40953559,-0.100582926,-9.568988153
Nissan,Primera,Petrol,4–5,mid,Petrol | 4–5 | mid,140,190,200,9.6,2000,20000,9.903487553,-0.4066666667,-0.5320435308,-0.1666666667,-0.6771653543,0,-0.6780719051,-0.4175084437,0.5075947403,-0.8225231874,0.2605634614,10.00354539,-0.1000578329,-9.521490983
Volkswagen,Santana,Petrol,4–5,mid,Petrol | 4–5 | mid,110,145,190,12.8,1500,15000,9.61580548,-0.6066666667,-0.7496977025,-0.3333333333,-1.68503937,0.5555555556,-1.093109404,-0.7381696367,0.3351726843,-2.202356192,0.3549397676,9.715524205,-0.09971872519,-9.490803819
GMC,Yukon Denali Performance,Petrol,8+,large,Petrol | 8+ | large,420,624,210,6,6200,76805,11.24902502,1.444444444,1.016949153,0.2,1.3,-0.6666666667,0.4621217635,0.9756120527,1.587438583,0.6145825501,0.5134902893,11.34760022,-0.09857520123,-9.387245185
KIA,SPORTAGE SX TURBO,Petrol,4–5,mid,Petrol | 4–5 | mid,240,400,210,6.7,1998,36000,10.49127422,0.26,0.4836759371,0,0.2362204724,0.002222222222,0.1699250014,0.235090393,1.185215958,0.1983523689,0.06516539158,10.58971637,-0.09844215222,-9.375188446
Mazda,RX-7,Petrol,4–5,small,Petrol | 4–5 | small,191.9,314,224.75,6.515,1300,36950,10.51732093,1.805769231,1.360995851,1.11875,1.002312139,-0.25,0.9980007786,1.315930829,2.71285281,0.4850726968,0.31793005,10.61556758,-0.09824665108,-9.35746946
Nissan,Ariya,Electric,4–5,EV,Electric | 4–5 | EV,389,600,200,5.1,87,58950,10.98444491,0.1952191235,0.4237288136,0,0.0350877193,0,0.007986467121,0.1600899998,1.008018444,0.1588165383,0.1521035327,11.08253726,-0.09809235534,-9.343482625
Mazda,CX-8,Diesel,6–7,mid,Diesel | 6–7 | mid,187,450,200,9.2,2200,39000,10.57131693,0.6878306878,0.7142857143,0.8080808081,0.9,0,0.4908497111,0.7252140452,1.633703807,0.4439079117,0.2343643341,10.66935645,-0.09803952017,-9.338692645
Mazda,MPV,Petrol,6–7,mid,Petrol | 6–7 | mid,200,265,185,9.5,3000,27500,10.22194128,0.214084507,0.131092437,-0.202020202,0,-1.106,-0.4512672297,0.005444024456,0.636820642,0.008548756269,0.4567112542,10.31939297,-0.09745168289,-9.285382882
Volkswagen,ID.3,Electric,4–5,EV,Electric | 4–5 | EV,204,310,160,7.3,58,35000,10.46310334,-0.5418326693,-0.395480226,-0.5714285714,-0.7368421053,0,-0.6717317221,-0.5303916148,0.5108232076,-1.038307592,0.1413401073,10.56025095,-0.09714761139,-9.257794958
Volkswagen,ID.3 Pro,Electric,4–5,EV,Electric | 4–5 | EV,204,310,160,7.3,58,35000,10.46310334,-0.5418326693,-0.395480226,-0.5714285714,-0.7368421053,0,-0.6717317221,-0.5303916148,0.5108232076,-1.038307592,0.1413401073,10.56025095,-0.09714761139,-9.257794958
Chevrolet,Traverse Premier,Petrol,6–7,large,Petrol | 6–7 | large,310,360,210,7,3600,46600,10.74935582,0,-0.455,0.25,0,0.35,-0.3471833444,-0.0235,0.7066757513,-0.03325428948,0.3236833444,10.84649662,-0.09714080402,-9.25717724
AUDI,S3 SEDAN,Petrol,4–5,mid,Petrol | 4–5 | mid,306,400,250,4.8,1984,52000,10.858999,0.7,0.4836759371,0.6666666667,0.8346456693,0.01777777778,0.7004397181,0.6428865435,2.014638386,0.3191076612,-0.05755317464,10.95600306,-0.09700406682,-9.244768473
Mazda,Familia Astina,Petrol,4–5,mid,Petrol | 4–5 | mid,135,170,200,8.5,1800,21000,9.952277717,-0.44,-0.6287787183,-0.1666666667,-0.3307086614,0.2222222222,-0.6076825772,-0.3681196982,0.5446115029,-0.6759308171,0.2395628791,10.04790686,-0.09562914772,-9.11990155
Volkswagen,Jetta Hybrid,Hybrid,4–5,small,Hybrid | 4–5 | small,170,250,210,8.6,1400,28000,10.23995979,-0.7744107744,-0.5714285714,0.8,-0.4705882353,-0.5,-0.4101980504,-0.3444471324,0.663518827,-0.5191218672,0.06575091799,10.33481953,-0.09485973605,-9.049950435
Peugeot,508 PSE,Hybrid,4–5,mid,Hybrid | 4–5 | mid,360,520,250,5.2,1598,60000,11.00209984,0.6975308642,0.6274509804,0.8064516129,1.15,0.2239467849,0.7454060208,0.7721136604,2.107296868,0.3664000418,0.02670763961,11.09627204,-0.0941721966,-8.987397186
Ford,Fusion (Mondeo),Hybrid,4–5,mid,Hybrid | 4–5 | mid,250,400,220,7.5,2000,40000,10.59663473,0.01851851852,0.1568627451,0.3225806452,0,-0.22172949,-0.04833863346,0.09128368503,0.9528110787,0.0958046008,0.1396223185,10.69071322,-0.094078485,-8.978867849
Nissan,Xterra,Petrol,6–7,large,Petrol | 6–7 | large,261,381,200,7.8,4000,35000,10.46310334,-0.4495412844,-0.35,-0.25,-1,0.15,-0.946836441,-0.4698394495,0.3879664388,-1.211031168,0.4769969915,10.5567355,-0.09363215886,-8.938233672
Nissan,Terrano XL,Petrol,4–5,mid,Petrol | 4–5 | mid,104,145,165,12.5,1600,14000,9.546812609,-0.6466666667,-0.7496977025,-0.75,-1.590551181,0.4444444444,-1.192645078,-0.8221608878,0.3034176384,-2.709667415,0.3704841901,9.6400824,-0.09326979147,-8.905229878
Nissan,Almera Tino,Petrol,4–5,mid,Petrol | 4–5 | mid,114,160,180,12.5,1800,15000,9.61580548,-0.58,-0.677146312,-0.5,-1.590551181,0.2222222222,-1.093109404,-0.7454283875,0.3351726843,-2.224012941,0.3476810169,9.709004321,-0.09319884063,-8.898766399
Mazda,Carol,Petrol,4–5,small,Petrol | 4–5 | small,63,90,140,15.5,660,10500,9.259130536,-0.6730769231,-0.4979253112,-1,-1.075144509,1.35,-0.6501726441,-0.6826908871,0.5219556564,-1.307948058,-0.03251824295,9.352259785,-0.09312924932,-8.892426324
AUDI,A5 COUPE,Petrol,4–5,mid,Petrol | 4–5 | mid,248,500,240,6.3,1984,45000,10.71441777,0.3133333333,0.9673518742,0.5,0.3622047244,0.01777777778,0.4918530963,0.4764668753,1.635343864,0.2913557729,-0.01538622104,10.80652321,-0.09210543875,-8.799101662
BMW,116D ADVANTAGE,Diesel,4–5,small,Diesel | 4–5 | small,116,270,200,10.5,1496,30840,10.33656783,1.64,1,1,0.3777777778,-0.3243243243,0.3824061656,1.033339339,1.465807325,0.7049625977,0.6509331738,10.42779211,-0.09122427794,-8.718703588
Nissan,Pathfinder Hybrid,Hybrid,6–7,mid,Hybrid | 6–7 | mid,250,329,190,7.7,2500,42500,10.65725935,0.3333333333,-0.4791666667,-0.5,1,-0.5555555556,-2.920303832,0.09305555556,0.05391730302,1.725894107,3.013359387,10.74839627,-0.09113691231,-8.710728391
MERCEDES,BENZ S-CLASS S 580,Petrol,4–5,large,Petrol | 4–5 | large,496,700,250,4.4,3982,116000,11.66134547,-0.0780952381,0.1175778954,0,0.2222222222,0.006384676776,0.1036829192,0.04094592402,1.109248678,0.03691320517,-0.0627369952,11.75061213,-0.08926666378,-8.539835008
Tata Motors,Manza,Diesel,4–5,small,Diesel | 4–5 | small,75,115,160,14,1300,9000,9.104979856,0,-0.1923076923,-0.3333333333,-0.4,0.3378378378,-0.7050754417,-0.1682363132,0.4940712993,-0.3405101925,0.5368391285,9.193858992,-0.08887913555,-8.504384744
BMW,330i,Petrol,4–5,mid,Petrol | 4–5 | mid,255,400,250,5.6,1998,45000,10.71441777,0.36,0.4836759371,0.6666666667,0.5826771654,0.002222222222,0.4918530963,0.4727150649,1.635343864,0.2890615702,-0.01913803139,10.80315329,-0.08873552413,-8.491243985
Mazda,MX-3,Petrol,4–5,mid,Petrol | 4–5 | mid,130,140,190,8.5,1600,20000,9.903487553,-0.4733333333,-0.7738814994,-0.3333333333,-0.3307086614,0.4444444444,-0.6780719051,-0.4310291433,0.5075947403,-0.8491599874,0.2470427618,9.991400954,-0.08791340155,-8.415981637
