Company,Model,Fuel,SeatsBand,EngineBand,peer_id,hp,tq,vmax,acc_sec,cc,price,log_price,z_hp,z_tq,z_vmax,z_acc,z_eff,z_price,perf,price_index,VFM_ratio,VFM_diff,price_pred,price_resid,overpriced_pct
Porsche,718 Cayman S,Petrol,2,mid,Petrol | 2 | mid,350,420,285,4.4,2500,75400,11.23056255,0.2717391304,0.1587301587,0.5833333333,0.28125,-0.5020080321,0.6133138198,0.2746709925,1.846540373,0.1487489775,-0.3386428273,11.1866441,0.04391845559,4.489714589
Kia,EV6 Wind,Electric,4–5,EV,Electric | 4–5 | EV,225,350,190,5.2,77,50000,10.81977828,-0.4581673307,-0.2824858757,-0.1428571429,0,0,-0.2067036808,-0.2454271694,0.813260599,-0.3017817041,-0.03872348862,10.77580054,0.04397774319,4.495909718
Kia,Seltos LX,Petrol,4–5,mid,Petrol | 4–5 | mid,146,179,190,9.2,2000,23000,10.04324949,-0.3666666667,-0.5852478839,-0.3333333333,-0.5511811024,0,-0.4764380439,-0.4222857973,0.6209914011,-0.6800187514,0.05415224669,9.999254317,0.04399517755,4.497731553
TOYOTA,TACOMA,Petrol,4–5,mid,Petrol | 4–5 | mid,159,400,180,9.5,2694,26400,10.18111929,-0.28,0.4836759371,-0.5,-0.6456692913,-0.7711111111,-0.2775339755,-0.2689542264,0.7576498226,-0.3549848734,0.00857974913,10.13697831,0.0441409785,4.512968532
Peugeot,Partner Tepee,Diesel,4–5,mid,Diesel | 4–5 | mid,100,260,170,12,1560,25000,10.1266311,-0.8737864078,-0.6206896552,-0.2,-0.7692307692,0.8712871287,-0.6042802421,-0.5802449712,0.5464676095,-1.061810364,0.02403527094,10.08242809,0.04420301674,4.519452533
Mazda,818,Petrol,4–5,mid,Petrol | 4–5 | mid,100,132.75,170,12.5,1600,16000,9.680344001,-0.6733333333,-0.8089480048,-0.6666666667,-1.590551181,0.4444444444,-1,-0.826677615,0.3678794412,-2.247142739,0.173322385,9.636025429,0.0443185719,4.531530993
Nissan,Ariya Empower+,Electric,4–5,EV,Electric | 4–5 | EV,389,600,200,5.1,87,68000,11.12726298,0.1952191235,0.4237288136,0,0.0350877193,0,0.1941907752,0.1600899998,1.214327925,0.1318342406,-0.03410077544,11.08253726,0.04472572285,4.574099771
GMC,Hummer EV SUV,Electric,4–5,EV,Electric | 4–5 | EV,625,1000,170,3.5,212,105600,11.56741365,1.135458167,1.553672316,-0.4285714286,0.5964912281,0,0.7680533512,0.7417287817,2.155566037,0.344099308,-0.02632456947,11.5224939,0.04491974647,4.594391585
Nissan,Gloria,Petrol,4–5,mid,Petrol | 4–5 | mid,210,250,210,8.6,2500,30000,10.30895266,0.06,-0.2418379686,0,-0.3622047244,-0.5555555556,-0.09310940439,-0.1275863164,0.9110938172,-0.1400364199,-0.03447691198,10.26395642,0.04499623988,4.602392673
Volkswagen,Amarok V6,Diesel,4–5,mid,Diesel | 4–5 | mid,231,580,191,7.9,3000,45000,10.71441777,0.8220064725,1.586206897,0.22,0.3776223776,-1.98019802,0.7907350335,0.6254582192,2.205016592,0.2836523868,-0.1652768143,10.66743346,0.04698430883,4.810556294
GMC,Hummer EV Pickup,Electric,4–5,EV,Electric | 4–5 | EV,625,1000,170,3,212,108700,11.59634707,1.135458167,1.553672316,-0.4285714286,0.7719298246,0,0.8057763626,0.776816501,2.23843366,0.3470357486,-0.02895986152,11.54903456,0.04731251273,4.844961173
Mitsubishi,Pajero Sport,Diesel,6–7,mid,Diesel | 6–7 | mid,181,430,180,11,2400,37500,10.53209621,0.5608465608,0.5714285714,0,0,-0.5,0.4011866785,0.2855820106,1.493596065,0.1912043137,-0.1156046679,10.48382733,0.04826888153,4.945279587
Mitsubishi,Montero Sport,Diesel,6–7,mid,Diesel | 6–7 | mid,181,430,180,11,2400,37500,10.53209621,0.5608465608,0.5714285714,0,0,-0.5,0.4011866785,0.2855820106,1.493596065,0.1912043137,-0.1156046679,10.48382733,0.04826888153,4.945279587
Mitsubishi,Montero GLX,Diesel,6–7,mid,Diesel | 6–7 | mid,181,430,180,11,2400,37500,10.53209621,0.5608465608,0.5714285714,0,0,-0.5,0.4011866785,0.2855820106,1.493596065,0.1912043137,-0.1156046679,10.48382733,0.04826888153,4.945279587
Ford,Bronco Sport,Petrol,4–5,mid,Petrol | 4–5 | mid,250,375,185,7,2000,38000,10.54534144,0.3266666667,0.3627569528,-0.4166666667,0.1417322835,0,0.2479275134,0.1318978473,1.281367047,0.1029352578,-0.1160296662,10.49702776,0.04831367453,4.949980506
Chevrolet,Suburban,Petrol,8+,large,Petrol | 8+ | large,355,519,190,7.6,5300,59900,11.00043178,0,0,-0.5272727273,-0.3,0,-0.1675476172,-0.1654545455,0.8457363448,-0.1956337179,0.002093071707,10.95190473,0.0485270557,4.972377245
Volvo,Volvo FH,Diesel,2,large,Diesel | 2 | large,540,2600,120,15,13000,120000,11.69524702,0.5,0.5300353357,0.4,0.4,-0.03603603604,0.4932835224,0.4392052653,1.637684776,0.2681866937,-0.05407825704,11.64616892,0.04907810142,5.030237764
Chevrolet,Equinox LT,Petrol,4–5,mid,Petrol | 4–5 | mid,170,275,200,8.9,1500,28400,10.25414442,-0.2066666667,-0.1209189843,-0.1666666667,-0.4566929134,0.5555555556,-0.1721809754,-0.1934112684,0.8418268095,-0.2297518519,-0.02123029304,10.20483177,0.04931265203,5.05487556
TOYOTA,COROLLA,Petrol,4–5,mid,Petrol | 4–5 | mid,139,200,180,9.4,1798,22500,10.02127059,-0.4133333333,-0.4836759371,-0.5,-0.6141732283,0.2244444444,-0.5081469037,-0.4530142775,0.6016093866,-0.7530040049,0.05513262613,9.97165368,0.04961690773,5.086843967
Nissan,Sunny California,Petrol,4–5,mid,Petrol | 4–5 | mid,110,140,170,11,1600,18000,9.798127037,-0.6066666667,-0.7738814994,-0.6666666667,-1.118110236,0.4444444444,-0.8300749986,-0.7018427916,0.4360165845,-1.609669945,0.128232207,9.748153351,0.04997368581,5.124343339
Kia,Sorento X-Pro Hybrid,Hybrid,6–7,mid,Hybrid | 6–7 | mid,227,352,200,7.8,1600,49000,10.79957558,0,0,0,0.5,0.4444444444,0.4947912898,0.1222222222,1.640155886,0.07451866207,-0.3725690676,10.7494541,0.05012148054,5.139881312
